rhs_call,quantity,target_n_z,target_n_vpar,target_n_mu,solver_vpar_nodes_excluded,solver_mu_nodes_excluded,reference_weighted_l2,candidate_weighted_l2,raw_relative_l2_error,aligned_relative_l2_error,alignment_scale_real,alignment_scale_imag,alignment_scale_source
1,distribution,256,16,7,0,1,7.80797945650778e-10,1.677463299074309,2148396148.3367586,0.9999259758628539,5.319843042038317e-12,-1.9425937019139516e-12,fitted
1,parallel_streaming,256,16,7,0,1,3.130587484206239e-11,0.4609150085466041,14722955703.1106,1.003926671358302,5.319843042038317e-12,-1.9425937019139516e-12,provided
1,mirror_force,256,16,7,0,1,1.3481292858945076e-11,0.18085029471225467,13414907353.817234,1.0038558147240686,5.319843042038317e-12,-1.9425937019139516e-12,provided
1,magnetic_drift,256,16,7,0,1,1.784932351434025e-11,0.24581278104331764,13771546067.03455,1.0026706929824392,5.319843042038317e-12,-1.9425937019139516e-12,provided
1,equilibrium_drive,256,16,7,0,1,2.457728861384579e-11,0.01771004215425396,720585677.1330156,1.0007307139239956,5.319843042038317e-12,-1.9425937019139516e-12,provided
1,total_rhs,256,16,7,0,1,2.944066644104237e-11,0.37985468834663105,12902380763.269978,1.0030916534337773,5.319843042038317e-12,-1.9425937019139516e-12,provided
2,distribution,256,16,7,0,1,7.81698072154597e-10,1.677463299074309,2145922266.9462118,0.9999271045893462,5.2655475860381155e-12,-1.982982717464684e-12,fitted
2,parallel_streaming,256,16,7,0,1,3.13518390962663e-11,0.4609150085466041,14701370695.721014,1.0038659231604272,5.2655475860381155e-12,-1.982982717464684e-12,provided
2,mirror_force,256,16,7,0,1,1.3499902870924995e-11,0.18085029471225467,13396414510.650043,1.0037999287996142,5.2655475860381155e-12,-1.982982717464684e-12,provided
2,magnetic_drift,256,16,7,0,1,1.7874725140243357e-11,0.24581278104331764,13751975435.399153,1.0026339574515901,5.2655475860381155e-12,-1.982982717464684e-12,provided
2,equilibrium_drive,256,16,7,0,1,2.4621620493323938e-11,0.01771004215425396,719288243.5459565,1.0007247525313172,5.2655475860381155e-12,-1.982982717464684e-12,provided
2,total_rhs,256,16,7,0,1,2.9493047777909045e-11,0.37985468834663105,12879465398.325928,1.003045658503381,5.2655475860381155e-12,-1.982982717464684e-12,provided
3,distribution,256,16,7,0,1,7.825977180233403e-10,1.677463299074309,2143455392.768649,0.9999282106212503,5.21114915266959e-12,-2.0232680668128937e-12,fitted
3,parallel_streaming,256,16,7,0,1,3.139787359637247e-11,0.4609150085466041,14679816043.340652,1.0038062729403003,5.21114915266959e-12,-2.0232680668128937e-12,provided
3,mirror_force,256,16,7,0,1,1.3518548369532359e-11,0.18085029471225467,13377937465.535847,1.0037450344540106,5.21114915266959e-12,-2.0232680668128937e-12,provided
3,magnetic_drift,256,16,7,0,1,1.790015355507494e-11,0.24581278104331764,13732439796.498034,1.0025982839729068,5.21114915266959e-12,-2.0232680668128937e-12,provided
3,equilibrium_drive,256,16,7,0,1,2.4666253632528127e-11,0.01771004215425396,717986704.4965204,1.000718735293223,5.21114915266959e-12,-2.0232680668128937e-12,provided
3,total_rhs,256,16,7,0,1,2.954567843301241e-11,0.37985468834663105,12856522797.673452,1.0030004657552407,5.21114915266959e-12,-2.0232680668128937e-12,provided
