case,iteration,objective,objective_error,growth_residual,absolute_growth_residual,selected_growth,max_growth,q,shat,temperature_gradient,density_gradient
A,0.0000000000000000e+00,6.4735880317484768e-03,6.4735880317484768e-03,1.1378565842625754e-01,1.1378565842625754e-01,1.1378565842625754e-01,1.1378565842625754e-01,1.2500000000000000e+00,4.5000000000000001e-01,2.1000000000000001e+00,8.0000000000000004e-01
A,1.0000000000000000e+00,6.4495970029282241e-03,6.4495970029282241e-03,1.1357461866920993e-01,1.1357461866920993e-01,1.1357461866920993e-01,1.1357461866920993e-01,1.2500360602119065e+00,4.4998951432659412e-01,2.1000000056996826e+00,7.9999999143705047e-01
A,2.0000000000000000e+00,6.4256302740607887e-03,6.4256302740607887e-03,1.1336340039060921e-01,1.1336340039060921e-01,1.1336340039060921e-01,1.1336340039060921e-01,1.2500720622256312e+00,4.4997906129022791e-01,2.1000000113933996e+00,7.9999998288012508e-01
A,3.0000000000000000e+00,6.4016879615635897e-03,6.4016879615635897e-03,1.1315200361958766e-01,1.1315200361958766e-01,1.1315200361958766e-01,1.1315200361958766e-01,1.2501080059819640e+00,4.4996864089901090e-01,2.1000000170811299e+00,7.9999997432926029e-01
A,4.0000000000000000e+00,6.3777701826973959e-03,6.3777701826973959e-03,1.1294042839211649e-01,1.1294042839211649e-01,1.1294042839211649e-01,1.1294042839211649e-01,1.2501438914215097e+00,4.4995825316082722e-01,2.1000000227628508e+00,7.9999996578449273e-01
A,5.0000000000000000e+00,6.3538770555239942e-03,6.3538770555239942e-03,1.1272867475069503e-01,1.1272867475069503e-01,1.1272867475069503e-01,1.1272867475069503e-01,1.2501797184846895e+00,4.4994789808333358e-01,2.1000000284385405e+00,7.9999995724585915e-01
A,6.0000000000000000e+00,6.3300086989241874e-03,6.3300086989241874e-03,1.1251674274457280e-01,1.1251674274457280e-01,1.1251674274457280e-01,1.1251674274457280e-01,1.2502154871117415e+00,4.4993757567395709e-01,2.1000000341081773e+00,7.9999994871339652e-01
A,7.0000000000000000e+00,6.3061652325955495e-03,6.3061652325955495e-03,1.1230463242979383e-01,1.1230463242979383e-01,1.1230463242979383e-01,1.1230463242979383e-01,1.2502511972427233e+00,4.4992728593989345e-01,2.1000000397717389e+00,7.9999994018714182e-01
A,8.0000000000000000e+00,6.2823467770700154e-03,6.2823467770700154e-03,1.1209234386941880e-01,1.1209234386941880e-01,1.1209234386941880e-01,1.1209234386941880e-01,1.2502868488175125e+00,4.4991702888810498e-01,2.1000000454292032e+00,7.9999993166713235e-01
A,9.0000000000000000e+00,6.2585534536765131e-03,6.2585534536765131e-03,1.1187987713325853e-01,1.1187987713325853e-01,1.1187987713325853e-01,1.1187987713325853e-01,1.2503224417758079e+00,4.4990680452531839e-01,2.1000000510805474e+00,7.9999992315340529e-01
A,1.0000000000000000e+01,6.2347853845882272e-03,6.2347853845882272e-03,1.1166723229836251e-01,1.1166723229836251e-01,1.1166723229836251e-01,1.1166723229836251e-01,1.2503579760571311e+00,4.4989661285802296e-01,2.1000000567257500e+00,7.9999991464599818e-01
A,1.1000000000000000e+01,6.2110426927751749e-03,6.2110426927751749e-03,1.1145440944866358e-01,1.1145440944866358e-01,1.1145440944866358e-01,1.1145440944866358e-01,1.2503934516008282e+00,4.4988645389246834e-01,2.1000000623647885e+00,7.9999990614494854e-01
A,1.2000000000000000e+01,6.1873255020362568e-03,6.1873255020362568e-03,1.1124140867533328e-01,1.1124140867533328e-01,1.1124140867533328e-01,1.1124140867533328e-01,1.2504288683460707e+00,4.4987632763466273e-01,2.1000000679976405e+00,7.9999989765029411e-01
A,1.3000000000000000e+01,6.1636339369963225e-03,6.1636339369963225e-03,1.1102823007682616e-01,1.1102823007682616e-01,1.1102823007682616e-01,1.1102823007682616e-01,1.2504642262318575e+00,4.4986623409037063e-01,2.1000000736242832e+00,7.9999988916207276e-01
A,1.4000000000000000e+01,6.1399681230884006e-03,6.1399681230884006e-03,1.1081487375879107e-01,1.1081487375879107e-01,1.1081487375879107e-01,1.1081487375879107e-01,1.2504995251970157e+00,4.4985617326511085e-01,2.1000000792446945e+00,7.9999988068032246e-01
A,1.5000000000000000e+01,6.1163281865703944e-03,6.1163281865703944e-03,1.1060133983429310e-01,1.1060133983429310e-01,1.1060133983429310e-01,1.1060133983429310e-01,1.2505347651802028e+00,4.4984614516415450e-01,2.1000000848588516e+00,7.9999987220508129e-01
A,1.6000000000000000e+01,6.0927142545218792e-03,6.0927142545218792e-03,1.1038762842385808e-01,1.1038762842385808e-01,1.1038762842385808e-01,1.1038762842385808e-01,1.2505699461199078e+00,4.4983614979252290e-01,2.1000000904667324e+00,7.9999986373638754e-01
A,1.7000000000000000e+01,6.0691264548359174e-03,6.0691264548359174e-03,1.1017373965547250e-01,1.1017373965547250e-01,1.1017373965547250e-01,1.1017373965547250e-01,1.2506050679544525e+00,4.4982618715498551e-01,2.1000000960683138e+00,7.9999985527427964e-01
A,1.8000000000000000e+01,6.0455649162303917e-03,6.0455649162303917e-03,1.0995967366476123e-01,1.0995967366476123e-01,1.0995967366476123e-01,1.0995967366476123e-01,1.2506401306219934e+00,4.4981625725605784e-01,2.1000001016635732e+00,7.9999984681879599e-01
A,1.9000000000000000e+01,6.0220297682298538e-03,6.0220297682298538e-03,1.0974543059489861e-01,1.0974543059489861e-01,1.0974543059489861e-01,1.0974543059489861e-01,1.2506751340605238e+00,4.4980636009999936e-01,2.1000001072524879e+00,7.9999983836997535e-01
A,2.0000000000000000e+01,5.9985211411912338e-03,5.9985211411912338e-03,1.0953101059691939e-01,1.0953101059691939e-01,1.0953101059691939e-01,1.0953101059691939e-01,1.2507100782078742e+00,4.4979649569081148e-01,2.1000001128350352e+00,7.9999982992785645e-01
A,2.1000000000000000e+01,5.9750391662805914e-03,5.9750391662805914e-03,1.0931641382958546e-01,1.0931641382958546e-01,1.0931641382958546e-01,1.0931641382958546e-01,1.2507449630017149e+00,4.4978666403223533e-01,2.1000001184111921e+00,7.9999982149247817e-01
A,2.2000000000000000e+01,5.9515839754693961e-03,5.9515839754693961e-03,1.0910164045943027e-01,1.0910164045943027e-01,1.0910164045943027e-01,1.0910164045943027e-01,1.2507797883795575e+00,4.4977686512774978e-01,2.1000001239809354e+00,7.9999981306387957e-01
A,2.3000000000000000e+01,5.9281557015694137e-03,5.9281557015694137e-03,1.0888669066115853e-01,1.0888669066115853e-01,1.0888669066115853e-01,1.0888669066115853e-01,1.2508145542787561e+00,4.4976709898056927e-01,2.1000001295442425e+00,7.9999980464209985e-01
A,2.4000000000000000e+01,5.9047544781898401e-03,5.9047544781898401e-03,1.0867156461733529e-01,1.0867156461733529e-01,1.0867156461733529e-01,1.0867156461733529e-01,1.2508492606365096e+00,4.4975736559364166e-01,2.1000001351010904e+00,7.9999979622717843e-01
A,2.5000000000000000e+01,5.8813804397477984e-03,5.8813804397477984e-03,1.0845626251856366e-01,1.0845626251856366e-01,1.0845626251856366e-01,1.0845626251856366e-01,1.2508839073898632e+00,4.4974766496964619e-01,2.1000001406514559e+00,7.9999978781915460e-01
A,2.6000000000000000e+01,5.8580337214930063e-03,5.8580337214930063e-03,1.0824078456379560e-01,1.0824078456379560e-01,1.0824078456379560e-01,1.0824078456379560e-01,1.2509184944757101e+00,4.4973799711099138e-01,2.1000001461953159e+00,7.9999977941806799e-01
A,2.7000000000000000e+01,5.8347144594792450e-03,5.8347144594792450e-03,1.0802513096015431e-01,1.0802513096015431e-01,1.0802513096015431e-01,1.0802513096015431e-01,1.2509530218307936e+00,4.4972836201981281e-01,2.1000001517326474e+00,7.9999977102395836e-01
A,2.8000000000000000e+01,5.8114227905551978e-03,5.8114227905551978e-03,1.0780930192293425e-01,1.0780930192293425e-01,1.0780930192293425e-01,1.0780930192293425e-01,1.2509874893917083e+00,4.4971875969797093e-01,2.1000001572634273e+00,7.9999976263686545e-01
